,Business_Unit,Country_Name,Prestige_Region,Site_Key,Customer_Key,Recommendation_1,Recommendation_2,Recommendation_3,Recommendation_4,Recommendation_5,Recommendation_6,Recommendation_7,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,beauty_box_score,professional_skincare_score,prestige_skincare_score,cosmetics_score,hair_score,fragrance_score,devices_score,categories_purchased,categories_not_purchased,Recommendation_1_existing_categories,Recommendation_2_existing_categories
0,US,Canada,North America,166,179440925,Cosmetics,Prestige_skincare,Hair,Beauty_box,Devices,Fragrance,Professional_skincare,0.0007137633,0.00048273336,0.0003887657,0.00021629594,-0.00011321134,-0.0007486427,-3.4028235e+38,0.0,0.5402856040827445,0.0,0.0,0.0,0.0,0.0,Professional_Skincare,Beauty_Box_Cosmetics_Hair_Fragrance_Prestige_Skincare_Devices,professional_skincare,
1,US,Canada,North America,166,166933461,Professional_skincare,Fragrance,Cosmetics,Beauty_box,Devices,Hair,Prestige_skincare,0.0015611751,0.0014296346,0.00081605895,0.0004638941,-0.00041790155,-0.0007099989,-3.4028235e+38,0.0,0.0,0.5200374000642828,0.0,0.0,0.0,0.0,Prestige_Skincare,Beauty_Box_Cosmetics_Hair_Fragrance_Professional_Skincare_Devices,prestige_skincare,
2,US,Canada,North America,166,166104680,Professional_skincare,Beauty_box,Devices,Fragrance,Hair,Cosmetics,Prestige_skincare,0.004851415,-0.00026335474,-0.00054029585,-0.0006015403,-0.0013908492,-3.4028235e+38,-3.4028235e+38,0.0,0.0,0.5299442560333716,0.25959593991719804,0.0,0.0,0.0,Cosmetics_Prestige_Skincare,Beauty_Box_Hair_Fragrance_Professional_Skincare_Devices,prestige_skincare,cosmetics
3,US,Canada,North America,166,184171802,Cosmetics,Prestige_skincare,Hair,Beauty_box,Devices,Fragrance,Professional_skincare,0.00071024476,0.00047503412,0.0003928002,0.00021435693,-9.612995e-05,-0.0006852718,-3.4028235e+38,0.0,0.5039682539476185,0.0,0.0,0.0,0.0,0.0,Professional_Skincare,Beauty_Box_Cosmetics_Hair_Fragrance_Prestige_Skincare_Devices,professional_skincare,
4,US,Canada,North America,166,164064147,Professional_skincare,Fragrance,Cosmetics,Beauty_box,Devices,Hair,Prestige_skincare,0.0015645437,0.001375806,0.00081758073,0.00046080584,-0.00041745917,-0.0007131053,-3.4028235e+38,0.0,0.0,0.5840287709205715,0.0,0.0,0.0,0.0,Prestige_Skincare,Beauty_Box_Cosmetics_Hair_Fragrance_Professional_Skincare_Devices,prestige_skincare,
5,US,Canada,North America,166,172175187,Devices,Professional_skincare,Prestige_skincare,Fragrance,Cosmetics,Beauty_box,Hair,0.0046897037,0.0035875149,0.003103357,0.002873655,0.0011878365,-3.4028235e+38,-3.4028235e+38,0.4684313513250155,0.0,0.0,0.0,0.33681339271326793,0.0,0.0,Beauty_Box_Hair,Cosmetics_Fragrance_Professional_Skincare_Prestige_Skincare_Devices,beauty_box,hair
6,US,Canada,North America,166,177826339,Cosmetics,Prestige_skincare,Hair,Beauty_box,Devices,Fragrance,Professional_skincare,0.0007138024,0.00048284605,0.00038871542,0.0002163481,-0.00011345092,-0.0007494688,-3.4028235e+38,0.0,0.540746122774834,0.0,0.0,0.0,0.0,0.0,Professional_Skincare,Beauty_Box_Cosmetics_Hair_Fragrance_Prestige_Skincare_Devices,professional_skincare,
7,US,Canada,North America,166,167125344,Cosmetics,Prestige_skincare,Hair,Beauty_box,Devices,Fragrance,Professional_skincare,0.00070993183,0.00047440734,0.00039320067,0.00021422654,-9.472831e-05,-0.0006797258,-3.4028235e+38,0.0,0.5008960579980858,0.0,0.0,0.0,0.0,0.0,Professional_Skincare,Beauty_Box_Cosmetics_Hair_Fragrance_Prestige_Skincare_Devices,professional_skincare,
8,US,Canada,North America,166,167193627,Cosmetics,Fragrance,Beauty_box,Devices,Hair,Prestige_skincare,Professional_skincare,0.0013669762,0.0009529777,0.0008811038,-0.00052901544,-0.0005314741,-3.4028235e+38,-3.4028235e+38,0.0,0.451465067589638,0.25409811623013306,0.0,0.0,0.0,0.0,Professional_Skincare_Prestige_Skincare,Beauty_Box_Cosmetics_Hair_Fragrance_Devices,professional_skincare,prestige_skincare
9,US,Canada,North America,166,185456835,Cosmetics,Prestige_skincare,Hair,Beauty_box,Devices,Fragrance,Professional_skincare,0.00071097724,0.00047669,0.00039194524,0.00021474436,-9.9770725e-05,-0.000699318,-3.4028235e+38,0.0,0.511904761727436,0.0,0.0,0.0,0.0,0.0,Professional_Skincare,Beauty_Box_Cosmetics_Hair_Fragrance_Prestige_Skincare_Devices,professional_skincare,
